"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11176","checkAddNewAccount()","","2026-05-31","passed","2026-05-31","","tests.NewAccountTest","tests.NewAccountTest","checkAddNewAccount"
"","7288","checkAddNewContact()","","2026-05-31","passed","2026-05-31","","tests.NewContactTest","tests.NewContactTest","checkAddNewContact"
